503,Majid2,TAHIR,TAHIR,XCXCX," XCX",XCX,Qandahar,XCX,Afghanistan,Afghanistan,,,,,,M
504,ASAS,ASA,ASA,ASAS," ASA",ASAS,Herat,ASAS,Afghanistan,Afghanistan,,,,,,M
505,,,,," ",,"--Select City--",,"--Select Countr","--Select Country--",,,,,,M
506,,,,," ",,"--Select City--",,"--Select Countr","--Select Country--",,,,,,M
119,"La Rochelle Gifts13",Labrune1,Janine1,40.67.85577,"2267, rue des Cinquante Otages1",1,Dehli,1,44001,India,1371,118201,abc@3yahoo.com,,,M
121,"Baane2 Mini Imports",Bergulfsen2,"Jonas ","07-98 9555","Erling Skakkes gate 78",dd,Islamabad,XCX,4110,Pakistan,1504,81700,,,,M
502,Majid,TAHIR,TAHIR,XCXCX," XCX",XCX,Kabul,XCX,Afghanistan,a,,,,,,M
125,"Havel & Zbyszek Co",Piestrzeniewicz,"Zbyszek ","(26) 642-7555","ul. Filtrowa 68",,Warszawa,,01-012,Poland,,0,,,,M
128,"Blauer2 See Auto, Co.",Keitel2,Roland,"+49 69 66 90 2555","Lyonerstr. 34",cxc,Jhang,xcx,60528,Pakistan,1504,59700,,,,M
129,"Mini Wheels Co.",Murphy,Julie,6505555787,"5557 North Pendale Street",,"San Francisco",pakistan,94217,USA,1165,64600,,,,M
131,"Land of Toys Inc.",Lee,Kwai,2125557818,"897 Long Airport Avenue",,Multan,NY,10022,Pakistan,1323,114900,,,,M
141,"Euro+ Shopping Channel",Freyre,"Diego ","(91) 555 94 44","C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370,227600,,,,M
144,"Volvo Model Replicas, Co",Berglund,"Christina ","0921-12 3555","Berguvsvägen  8",,Luleå,,"S-958 22",Sweden,1504,53100,,,,M
145,"Danish Wholesale Imports",Petersen,"Jytte ","31 12 3555","Vinbæltet 34",,Kobenhavn,,1734,Denmark,1401,83400,,,,M
146,"Saveley sds& Henriot, Co.",Saveley,"Mary ",78.32.55525,"2, 22rue du Commerce",,Tarnï¿½w,,69004,"Czech Republic",1337,123900,abc@yahoo.com,,,M
148,"Dragon Souveniers, Ltd.",Natividad,Eric,"+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye",Singapore,,079903,Singapore,1621,103800,,,,M
151,"Muscle Machine Inc",Young,Jeff,2125557413,"4092 Furth Circle","Suite 400",NYC,NY,10022,USA,1286,138500,,,,M
157,"Diecast Classics Inc.",Leong,Kelvin,2155551555,"7586 Pompton St.",,Allentown,PA,70267,USA,1216,100600,,,,M
161,"Technics Stores Inc.",Hashimoto,Juri,6505556809,"9408 Furth Circle",,Burlingame,CA,94217,USA,1165,84600,,,,M
166,"Handji Gifts& Co",Victorino,Wendy,"+65 224 1555","106 Linden Road Sandown","2nd Floor",Singapore,,069045,Singapore,1612,97900,,,,M
167,"Herkku Gifts",Oeztan,Veysel,"+47 2267 3215","Brehmen St. 121","PR 334 Sentrum",Bergen,,"N 5804","Norway  ",1504,96800,,,,M
168,"American Souvenirs Inc",Franco,Keith,2035557845,"149 Spinnaker Dr.","Suite 101","New Haven",CT,97823,USA,1286,0,,,,M
169,"Porto Imports Co.","de Castro","Isabel ","(1) 356-5555","Estrada da saúde n. 58",,Lisboa,,1756,Portugal,,0,,,,M
171,"Daedalus Designs Imports",Rancé,"Martine ",20.16.1555,"184, chaussée de Tournai",,Lille,,59000,France,1370,82900,,,,M
172,"La Corne D'abondance, Co.",Bertrand,Marie,"(1) 42.34.2555","265, boulevard Charonne",,Paris,,75012,France,1337,84300,,,,M
173,"Cambridge Collectables Co.",Tseng,Jerry,6175555555,"4658 Baden Av.",,Cambridge,MA,51247,USA,1188,43400,,,,M
175,"Gift Depot Inc.",King,Julie,2035552570,"25593 South Bay Ln.",,Bridgewater,CT,97562,USA,1323,84300,,,,M
177,"Osaka Souveniers Co.",Kentary,Mory,"+81 06 6342 5555","1-6-20 Dojima",,Kita-ku,Osaka," 530-0003",Japan,1621,81200,,,,M
181,"Vitachrome Inc.",Frick,Michael,2125551500,"2678 Kingston Rd.","Suite 101",NYC,NY,10022,USA,1286,76400,,,,M
186,"Toys of Finland, Co.",Karttunen,Matti,"90-224 8555","Keskuskatu 45",,Helsinki,,21240,Finland,1501,96500,,,,M
187,"AV Stores, Co.",Ashworth,Rachel,"(171) 555-1555","Fauntleroy Circus",,Manchester,,"EC2 5NT",UK,1501,136800,,,,M
189,"Clover Collections, Co.",Cassidy,Dean,"+353 1862 1555","25 Maiden Lane","Floor No. 4",Dublin,,2,Ireland,1504,69400,,,,M
198,"Auto-Moto Classics Inc.",Taylor,Leslie,6175558428,"16780 Pompton St.",,Brickhaven,MA,58339,USA,1216,23000,,,,M
201,"UK Collectables, Ltd.",Devon,Elizabeth,"(171) 555-2282","12, Berkeley Gardens Blvd",,Liverpool,,"WX1 6LT",UK,1501,92700,,,,M
202,"Canadian Gift Exchange Network",Tamuri,"Yoshi ","(604) 555-3392","1900 Oak St.",,Vancouver,BC,"V3F 2K1",Canada,1323,90300,,,,M
204,"Online Mini Collectables",Barajas,Miguel,6175557555,"7635 Spinnaker Dr.",,Brickhaven,MA,58339,USA,1188,68700,,,,M
205,Toys4GrownUps.com,Young,Julie,6265557265,"78934 Hillside Dr.",,Pasadena,CA,90003,USA,1166,90700,,,,M
206,"Asian Shopping Network, Co",Walker,Brydey,"+612 9411 1555","Suntec Tower Three","8 Temasek",Singapore,,038988,Singapore,,0,,,,M
209,"Mini Caravy",Citeaux,"Frédérique ",88.60.1555,"24, place Kléber",,Strasbourg,,67000,France,1370,53800,,,,M
211,"King Kong Collectables, Co.",Gao,Mike,"+852 2251 1555","Bank of China Tower","1 Garden Road","Central Hong Kong",,,"Hong Kong",1621,58600,,,,M
216,"Enaco Distributors",Saavedra,"Eduardo ","(93) 203 4555","Rambla de Cataluña, 23",,Barcelona,,08022,Spain,1702,60300,,,,M
219,"Boards & Toys Co.",Young,Mary,3105552373,"4097 Douglas Av.",,Glendale,CA,92561,USA,1166,11000,,,,M
223,"Natürlich Autos",Kloss,"Horst ",0372-555188,"Taucherstraße 10",,Cunewalde,,01307,Germany,,0,,,,M
227,"Heintze Collectables",Ibsen,Palle,"86 21 3555","Smagsloget 45",,Århus,,8200,Denmark,1401,120800,,,,M
233,"Québec Home Shopping Network",Fresnière,"Jean ","(514) 555-8054","43 rue St. Laurent",,Montréal,Québec,"H1J 1C3",Canada,1286,48700,,,,M
237,"ANG Resellers",Camino,"Alejandra ","(91) 745 6555","Gran Vía, 1",,Madrid,,28001,Spain,,0,,,,M
239,"Collectable Mini Designs Co.",Thompson,Valarie,7605558146,"361 Furth Circle",,"San Diego",CA,91217,USA,1166,105000,,,,M
240,giftsbymail.co.uk,Bennett,"Helen ","(198) 555-8888","Garden House","Crowther Way 23",Cowes,"Isle of Wight","PO31 7PJ",UK,1501,93900,,,,M
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",,Toulouse,,31000,France,1370,61100,,,,M
247,"Messner Shopping Network",Messner,"Renate ",069-0555984,"Magazinweg 7",,Frankfurt,,60528,Germany,,0,,,,M
249,"Amica Models & Co.",Accorti,"Paolo ",011-4988555,"Via Monte Bianco 34",,Torino,,10100,Italy,1401,113000,,,,M
250,"Lyon Souveniers","Da Silva",Daniel,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",,Paris,,75508,France,1337,68100,,,,M
256,"Auto Associés & Cie.",Tonini,"Daniel ",30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,1370,77900,,,,M
